area_m2,lat,lon,price_usd
98.0,19.3756773,-99.1546074,229411.76470588235
50.0,19.287188,-99.170525,76470.58823529411
53.0,19.331932,-99.246689,138235.29411764705
96.0,19.379879,-99.169157,173529.41176470587
90.0,19.427649,-99.176003,195642.9411764706
130.0,19.478428,-99.207996,188235.29411764705
64.0,19.383446,-99.137643,73529.41176470589
85.0,19.460913,-99.12858,50870.58823529412
50.0,19.3579916,-99.0648692,46176.470588235294
70.0,19.40263,-99.078233,51521.470588235294
100.0,19.376116,-99.171601,75686.29411764706
90.0,19.404442,-99.162688,84941.17647058824
59.0,19.46731,-99.133163,92941.17647058824
60.0,19.383547,-99.074514,71372.5294117647
56.0,,,27747.529411764706
80.0,19.377369,-99.198052,71588.23529411765
100.0,19.394358,-99.177444,256388.23529411765
77.0,19.4959960885,-99.2017929554,32175.0
80.0,,,47058.82352941176
70.0,19.342508,-99.137204,85294.11764705883
102.0,19.47941,-99.186176,81159.5294117647
86.0,19.3803931,-99.1476908,163212.82352941178
57.0,19.366738,-99.14554,72000.0
70.0,19.385853,-99.137921,88235.29411764706
108.0,19.4482164,-99.1589625,211647.0588235294
110.0,19.347895,-99.187492,114902.0
81.0,19.436738,-99.138619,51495.882352941175
50.0,19.318662,-99.07476,32964.705882352944
92.0,19.367424,-99.185753,176470.58823529413
96.0,19.318989,-99.094437,164705.88235294117
50.0,19.371745,-99.212281,26705.882352941175
63.0,19.394358,-99.177444,187705.88235294117
60.0,19.352333,-99.121169,69089.11764705883
55.0,19.460913,-99.12858,17647.058823529413
75.0,19.338589,-99.117762,112058.82352941176
70.0,19.386033,-99.18296,77058.82352941176
65.0,19.46731,-99.133163,29867.647058823528
62.0,19.4306069,-99.0949899,41176.470588235294
121.0,19.2990233,-99.0436467,88813.64705882352
60.0,19.440935,-99.188522,217647.0588235294
70.0,19.366738,-99.14554,71411.76470588235
60.0,19.343558,-99.15189,75450.94117647059
65.0,19.472155,-99.161186,104411.76470588235
90.0,19.35782,-99.149406,76176.4705882353
63.0,19.47517,-99.152534,138894.0
65.0,19.446829,-99.159454,182058.82352941178
75.0,,,110294.11764705883
75.0,19.372248,-99.133377,63226.58823529412
78.0,19.3499358,-99.2906864,170588.23529411765
87.0,19.403014,-99.158422,223529.41176470587
64.0,19.3604024,-99.1497664,102705.88235294117
60.0,19.37197,-99.175052,91764.70588235294
83.0,19.33923,-99.218987,164705.88235294117
125.0,19.428622,-99.14602,89117.64705882352
95.0,19.443178,-99.20237,178705.88235294117
74.0,19.394628,-99.143842,82352.94117647059
65.0,19.311038,-99.101601,22941.176470588234
87.0,19.368264,-99.15925,164705.88235294117
65.0,19.346609,-99.072311,67647.05882352941
78.0,19.3499358,-99.2906864,182352.9411764706
70.0,19.377171,-99.188503,100588.23529411765
50.0,19.317698,-99.061256,50000.0
65.0,,,118147.05882352941
116.0,19.388044,-99.185753,105701.76470588235
60.0,19.473693,-99.164851,48784.294117647056
100.0,19.364967,-99.1428406,203818.82352941178
50.0,19.422817,-99.058911,30687.647058823528
101.0,19.409759,-99.181234,385582.35294117645
88.0,19.406622,-99.124168,117058.82352941176
74.0,19.323066,-99.1393153,191176.4705882353
90.0,19.361993,-99.137782,60588.23529411765
54.0,19.538431,-99.143669,36705.882352941175
75.0,19.406489,-99.133375,37395.76470588235
126.0,19.2990233,-99.0436467,92847.64705882352
66.0,,,54240.94117647059
65.0,19.476817,-99.188708,27223.058823529413
102.0,19.396593,-99.133163,102058.82352941176
55.0,19.377523,-99.193103,65294.117647058825
69.0,19.452689,-99.117987,40494.117647058825
105.0,19.387209,-99.222038,97058.82352941176
60.0,,,118764.70588235294
64.0,19.457911,-99.144234,98352.94117647059
84.0,19.44661,-99.160309,116470.58823529411
87.0,19.417364,-99.159454,176470.58823529413
52.0,19.455518,-99.123801,68058.82352941176
67.0,19.461871,-99.129227,67058.82352941176
80.0,19.39942,-99.141673,68805.35294117648
100.0,,,152176.4705882353
